date,feature_index,NO2
2024-11-06T00:00:00.000Z,0,
2024-11-09T00:00:00.000Z,0,
2024-11-05T00:00:00.000Z,0,
2024-11-10T00:00:00.000Z,0,
2024-11-07T00:00:00.000Z,0,
2024-11-12T00:00:00.000Z,0,
2024-11-11T00:00:00.000Z,0,
2024-11-08T00:00:00.000Z,0,9.127262455876917E-5
2025-01-13T00:00:00.000Z,0,
2025-01-08T00:00:00.000Z,0,
2025-01-10T00:00:00.000Z,0,
2025-01-09T00:00:00.000Z,0,
2025-01-15T00:00:00.000Z,0,
2025-01-11T00:00:00.000Z,0,
2025-01-14T00:00:00.000Z,0,
2025-01-12T00:00:00.000Z,0,
2025-03-08T00:00:00.000Z,0,
2025-03-12T00:00:00.000Z,0,6.007629272062331E-5
2025-03-05T00:00:00.000Z,0,
2025-03-11T00:00:00.000Z,0,
2025-03-06T00:00:00.000Z,0,8.437418000539765E-5
2025-03-07T00:00:00.000Z,0,
2025-03-10T00:00:00.000Z,0,
2025-03-09T00:00:00.000Z,0,
2025-04-20T00:00:00.000Z,0,4.0173224988393486E-5
2025-04-14T00:00:00.000Z,0,3.4076713563990777E-5
2025-04-19T00:00:00.000Z,0,
2025-04-15T00:00:00.000Z,0,
2025-04-18T00:00:00.000Z,0,5.004332706448622E-5
2025-04-16T00:00:00.000Z,0,
2025-04-17T00:00:00.000Z,0,
2025-04-21T00:00:00.000Z,0,
2025-05-29T00:00:00.000Z,0,8.629222720628605E-5
2025-05-24T00:00:00.000Z,0,5.1579009676869544E-5
2025-05-28T00:00:00.000Z,0,4.773044270223181E-5
2025-05-27T00:00:00.000Z,0,2.938303926687998E-5
2025-05-25T00:00:00.000Z,0,
2025-05-30T00:00:00.000Z,0,
2025-05-26T00:00:00.000Z,0,
2025-05-31T00:00:00.000Z,0,7.764756931768109E-5
2024-10-21T00:00:00.000Z,0,4.892757200044192E-5
2024-10-20T00:00:00.000Z,0,3.258339691253948E-5
2024-10-23T00:00:00.000Z,0,
2024-10-25T00:00:00.000Z,0,
2024-10-26T00:00:00.000Z,0,5.012288157659997E-5
2024-10-24T00:00:00.000Z,0,
2024-10-27T00:00:00.000Z,0,
2024-10-22T00:00:00.000Z,0,5.8240067220241246E-5
2024-11-18T00:00:00.000Z,0,1.4235814160201699E-4
2024-11-19T00:00:00.000Z,0,2.8849510272266343E-5
2024-11-16T00:00:00.000Z,0,
2024-11-14T00:00:00.000Z,0,6.718657095916569E-5
2024-11-20T00:00:00.000Z,0,
2024-11-15T00:00:00.000Z,0,
2024-11-13T00:00:00.000Z,0,8.132702350849286E-5
2024-11-17T00:00:00.000Z,0,
2025-07-12T00:00:00.000Z,0,9.554337642233197E-5
2025-07-14T00:00:00.000Z,0,
2025-07-15T00:00:00.000Z,0,
2025-07-17T00:00:00.000Z,0,
2025-07-11T00:00:00.000Z,0,
2025-07-18T00:00:00.000Z,0,
2025-07-16T00:00:00.000Z,0,
2025-07-13T00:00:00.000Z,0,
2025-10-11T00:00:00.000Z,0,5.6849999964470044E-5
2025-10-12T00:00:00.000Z,0,6.847237018519081E-5
2025-10-14T00:00:00.000Z,0,5.3528215565685446E-5
2025-10-09T00:00:00.000Z,0,1.255389506695792E-4
2025-10-13T00:00:00.000Z,0,
2025-10-10T00:00:00.000Z,0,
2025-10-07T00:00:00.000Z,0,
2025-10-08T00:00:00.000Z,0,2.901649786508642E-4
2024-10-12T00:00:00.000Z,0,
2024-10-15T00:00:00.000Z,0,
2024-10-16T00:00:00.000Z,0,7.796274439897388E-5
2024-10-19T00:00:00.000Z,0,
2024-10-14T00:00:00.000Z,0,
2024-10-17T00:00:00.000Z,0,8.457045462111839E-5
2024-10-18T00:00:00.000Z,0,6.520086026284844E-5
2024-10-13T00:00:00.000Z,0,
2025-08-16T00:00:00.000Z,0,8.076210360741243E-5
2025-08-13T00:00:00.000Z,0,
2025-08-19T00:00:00.000Z,0,
2025-08-12T00:00:00.000Z,0,
2025-08-17T00:00:00.000Z,0,6.50649039016571E-5
2025-08-15T00:00:00.000Z,0,
2025-08-18T00:00:00.000Z,0,
2025-08-14T00:00:00.000Z,0,
2025-08-11T00:00:00.000Z,0,
2025-08-09T00:00:00.000Z,0,
2025-08-10T00:00:00.000Z,0,1.3760490401182324E-4
2025-08-04T00:00:00.000Z,0,
2025-08-07T00:00:00.000Z,0,6.389708141796291E-5
2025-08-08T00:00:00.000Z,0,
2025-08-05T00:00:00.000Z,0,
2025-08-06T00:00:00.000Z,0,
2025-09-03T00:00:00.000Z,0,6.856762289923306E-5
2025-09-04T00:00:00.000Z,0,
2025-09-02T00:00:00.000Z,0,6.286886855377816E-5
2025-08-29T00:00:00.000Z,0,1.273823727387935E-4
2025-08-30T00:00:00.000Z,0,
2025-08-28T00:00:00.000Z,0,
2025-08-31T00:00:00.000Z,0,
2025-09-01T00:00:00.000Z,0,7.042488141451031E-5
2024-10-11T00:00:00.000Z,0,7.183956646864924E-5
2024-10-07T00:00:00.000Z,0,7.098977740887287E-5
2024-10-10T00:00:00.000Z,0,
